0.000353894,1.98535,0.0146484,14134
prob,player1,player2,pid
0.00119439,1.29785,0.702148,13951
prob,player1,player2,pid
0.00179159,0.62793,1.37207,13788
prob,player1,player2,pid
0.00119439,1.16113,0.838867,13974
prob,player1,player2,pid
0.00179159,1.15723,0.842773,13821
prob,player1,player2,pid
0.00119439,0.422852,1.57715,13950
prob,player1,player2,pid
0.00119439,1.05566,0.944336,13827
prob,player1,player2,pid
0.00119439,0.118164,1.88184,13820
prob,player1,player2,pid
0.00119439,1.81348,0.186523,13957
prob,player1,player2,pid
0.00119439,0.223633,1.77637,13987
prob,player1,player2,pid
0.000796262,0.243164,1.75684,14135
prob,player1,player2,pid
0.000530842,1.6123,0.387695,13799
prob,player1,player2,pid
0.000796262,0.727539,1.27246,13986
prob,player1,player2,pid
0.000796262,1.34863,0.651367,13998
prob,player1,player2,pid
0.00119439,1.62793,0.37207,14137
prob,player1,player2,pid
0.000353894,1.95801,0.0419922,14004
prob,player1,player2,pid
0.00179159,0.28418,1.71582,13685
prob,player1,player2,pid
0.00119439,1.28613,0.713867,14005
prob,player1,player2,pid
0.00119439,0.78418,1.21582,14150
prob,player1,player2,pid
0.000796262,0.368164,1.63184,14136
prob,player1,player2,pid
0.00119439,1.28418,0.71582,14152
prob,player1,player2,pid
0.00179159,0.56543,1.43457,13703
prob,player1,player2,pid
0.000796262,0.477539,1.52246,13982
prob,player1,player2,pid
0.000530842,0.868164,1.13184,14153
prob,player1,player2,pid
0.000530842,1.47754,0.522461,14159
prob,player1,player2,pid
0.000796262,0.47168,1.52832,14008
prob,player1,player2,pid
0.00119439,1.75293,0.24707,14086
prob,player1,player2,pid
0.000530842,0.97168,1.02832,14162
prob,player1,player2,pid
0.00119439,0.0595703,1.94043,14149
prob,player1,player2,pid
0.000796262,0.430664,1.56934,13829
prob,player1,player2,pid
0.000796262,0.911133,1.08887,13980
prob,player1,player2,pid
0.000796262,1.78418,0.21582,14155
prob,player1,player2,pid
0.000796262,0.12207,1.87793,14158
prob,player1,player2,pid
0.000530842,1.12207,0.87793,14174
prob,player1,player2,pid
0.000530842,0.930664,1.06934,14164
prob,player1,player2,pid
0.000796262,0.711914,1.28809,13972
prob,player1,player2,pid
0.000353894,1.93066,0.0693359,14175
prob,player1,player2,pid
0.000530842,1.47168,0.52832,14165
prob,player1,player2,pid
0.00119439,1.68848,0.311523,13975
prob,player1,player2,pid
0.000530842,0.493164,1.50684,14138
prob,player1,player2,pid
0.000530842,0.80957,1.19043,14179
prob,player1,player2,pid
0.000796262,0.30957,1.69043,14163
prob,player1,player2,pid
0.00119439,0.352539,1.64746,13976
prob,player1,player2,pid
0.000530842,0.24707,1.75293,14166
prob,player1,player2,pid
0.000353894,0.993164,1.00684,14177
prob,player1,player2,pid
0.000796262,0.922852,1.07715,14139
prob,player1,player2,pid
0.000530842,1.71191,0.288086,14176
prob,player1,player2,pid
0.00179159,0.0439453,1.95605,13830
prob,player1,player2,pid
0.000353894,0.49707,1.50293,14180
prob,player1,player2,pid
0.00119439,0.106445,1.89355,14178
prob,player1,player2,pid
0.000353894,1.24707,0.75293,14191
prob,player1,player2,pid
0.000353894,1.49316,0.506836,14181
prob,player1,player2,pid
0.00119439,1.04395,0.956055,14197
prob,player1,player2,pid
0.000796262,0.356445,1.64355,14189
prob,player1,player2,pid
0.000796262,1.35254,0.647461,14190
prob,player1,player2,pid
0.00119439,0.543945,1.45605,14192
prob,player1,player2,pid
0.000530842,0.856445,1.14355,14200
prob,player1,player2,pid
0.00119439,0.907227,1.09277,13831
prob,player1,player2,pid
0.000530842,1.35645,0.643555,14202
